Year,Total,US Carriers,Foreign Carriers
1985,24155,11798,12357
1990,42712,21960,20752
1991,41236,21639,19597
1992,45084,23878,21207
1993,47353,25356,21997
1994,49558,26133,23425
1995,52991,27321,25670
1996,56820,29023,27797
1997,60315,29958,30358
1998,62856,31014,31842
1999,66755,32627,34128
2000,72205,35286,36919
2001,65460,32619,32841
2002,62851,32112,30739
2003,62960,32439,30521
2004,70849,37329,33519
2005,75121,40571,34550
2006,77699,42495,35204
2007,80650,44770,35881
2008,80548,45083,35465
2009,75809,41979,33830
2010,80287,44689,35598
2011,83341,45815,37526
2012,87108,46955,40154
2013,91550,48482,43068
2014,96225,49992,46232
2015,102431,51575,50855
2016,108137,52312,55825
2017,113819,54157,59663
2018,119791,55890,63901
