Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Total
1995,5909,7275,8471,8886,9035,48403,42668,44843,39919,40065,37072,30580,323126
1996,34158,35842,34611,35213,31238,56060,32677,36564,31800,32311,31000,23229,414703
1997,23961,24333,27742,24854,29478,31808,34192,26526,29786,30075,23672,15743,322170
1998,17515,16317,19140,19520,19238,19660,26203,34947,28800,27527,23319,20023,272209
1999,19820,18106,23469,22615,23218,27632,33393,34245,31902,45513,31799,26976,338688
2000,32166,36601,39869,38109,39615,35128,38738,42155,39251,33439,26715,21963,423749
2001,26873,30515,31482,34094,33850,31857,31994,41301,30301,31711,28535,25599,378112
2002,27974,29072,34111,30002,32691,34789,37109,41159,31477,35046,32914,30335,396679
2003,32281,32956,36411,35412,38147,35211,40003,45397,42248,37980,36515,31984,444545
2004,33759,37168,37774,38123,36943,38492,45011,45447,41036,40836,38980,34035,467604
2005,32282,36441,38261,38141,38670,40009,40492,43149,38367,40867,35629,31797,454105
2006,31121,34736,34645,37121,35670,38112,41417,44648,42474,37894,36416,32648,446902
2007,30945,32058,35925,36077,36849,42556,41798,49679,40174,40391,37389,33631,457472
2008,35029,37231,37233,40174,40495,41099,43556,53135,45573,45797,40146,36645,496113
2009,37906,37504,40832,40452,40395,43368,48741,55998,44384,44588,40441,35256,509865
2010,35225,41931,45466,43777,43677,47407,48932,56787,44723,46123,41923,32553,528524
2011,34308,37738,41217,39979,37912,40677,47133,54906,44108,43258,39570,37197,498003
2012,33358,36131,38881,37540,36872,39115,41558,55627,41122,40353,38838,35209,474604
2013,30153,35725,38587,39189,40648,41371,47502,55429,43077,43145,43014,36762,494602
2014,36138,37563,39518,37503,39978,42294,48516,45583,43809,43382,38924,38839,492047
2015,34593,11600,11600,11600,11972,12833,14631,14451,12144,12744,13922,15153,177243
2016,9713,10909,10264,10672,9185,9110,9632,10112,9351,9661,8645,10107,117361
2017,6366,7926,7461,7273,6725,7996,9696,10103,9452,14891,12445,12275,112609
2018,11642,9756,9129,8499,8880,8830,9726,10413,9327,9691,9263,9805,114960
2019,8351,12941,13203,10943,8731,7481,8374,8778,8122,8744,8432,9650,113748
2020,7517,8688,,,,,,,,,,,
